id|url|name|price|currency|rate|description|instruction|made
19760300404|https://goldapple.ru/19760300404-501-praline-reglisse-patchouli|BON PARFUMEUR PARIS! 501 – praline, réglisse, patchouli|4700|RUB|4.6|Пралине, лакрица, пачули – три характерные ноты аромата 501 от Bon Parfumeur. Сладкая выпечка и пудровые ноты ириса сочетаются в гурманском аромате, идеальном и для шопинга с подругами, и для романтического ужина при свечах. Композицию открывает яркий взрыв цитрусовых нот. В сердце аромата лакомые ноты пралине и пикантная пряность лакрицы дополняют звучание переливчатого пудрового аккорда. Нежные ваниль и мускус подчеркивают уникальный характер романтичного сочетания. * *Верхние ноты: бергамот, фундук, юзу. *Ноты сердца: ирис, пралине, лакрица.*Базовые ноты: кашмеран, амбра, мускус, пачули. *||"страна происхождения: Франция; изготовитель:""Le Parfumeur SAS"", 58 rue Tiquetonne, 75002 Paris, Франция.;"
19760305902|https://goldapple.ru/19760305902-room-service|VILHELM PARFUMERIE ROOM SERVICE|19260|RUB|5.0|«В твоём сердце так много вещей, о которых ты никогда не расскажешь другому человеку»,- сказала Грета Гарбо. Прославленная своими восторженными поклонниками, коварная обольстительница на сцене, Грета Гарбо держала свои мысли и сердце закрытыми от публики. Одна в своём номере отеля, облачённая в струящийся атлас, она отстранялась от окружающего мира. Room service - это тщательно подобранная композиция, в которой преобладают ноты фиалки, розовой орхидеи и зелёного бамбука. Свежий мандариновый нектар прекрасно сочетается с изысканностью сандалового дерева.||страна происхождения: Франция; изготовитель:VILHELM PERFUMES SA, 8 rue Saint-Léger, 2205 Geneva, Switzerland;
19000117864|https://goldapple.ru/19000117864-ambra|LE COUVENT Ambra|9646|RUB|5.0|Насыщенный пряно-амбровый аромат AMBRA играет на контрастах и объединяет противоположности. Тёплая и чувственная восточная композиция от LE COUVENT раскрывает красоту ценной и благородной амбры, которая источает свет, и смолы ладанника, остающегося на стороне теней и тьмы. В основе густого, пьянящего аромата – дуэт бессмертника и лабданума, окутанный легкой свежестью бергамота. Деликатная сладость и теплые ноты помогают расслабиться и настроиться на внутреннее эмоциональное путешествие, во время которого время будто замирает. **|Только для наружного применения|страна происхождения: Франция; изготовитель:«LE COUVENT», адрес: Rue de la Mare à Blot – ZAC de la Tremblaie 91220 LE PLESSIS PATE, Франция;
19000118290|https://goldapple.ru/19000118290-pear-inc|JULIETTE HAS A GUN Pear inc|4017|RUB|5.0|Если соблюдать правила, то можно пропустить всё веселье!*Pear Inc. - это как спонтанное свидание в беседке и отзвуки смеха, как брызги от водных игр, и пальцы, опущенные в банку с вареньем. Все началось с груши - фрукта, сочетающего в себе манящую форму и бодрящие свойства. Всего один укус его сочной мякоти - и тебя словно изнутри наполняет свет, в душа отдается вечной молодости, поддаваясь запретному. *Композиция Pear Inc., созданная на основе груши, мускуса и амброксана, отдает дань уважения этому неотразимому фрукту со вкусом солнечного света.|Нанести на пульсирующие точки.|страна происхождения: Франция;
19000123334|https://goldapple.ru/19000123334-dive-into-green|OKOLO Dive Into Green|2100|RUB|5.0|Союз леса и моря, смешение зелени и синевы, связь ростка и воды вдохновили нас на создание этого аромата. В нем живут противоречия: свежесть и  теплота, волны и искры. Похожий на вечный круговорот жизни, такой аромат подталкивает к движению, стимулирует и вдохновляет.|При первом горении дождись плавления воска по всей поверхности свечи — это обеспечит равномерное выгорание свечи в дальнейшем. Оптимальная длина фитиля — полсантиметра, удаляй обгоревшую часть перед каждым последующим зажиганием. Чтобы потушить свечу, накрой ее крышкой. *Никогда не оставляй горящую свечу без присмотра.|страна происхождения: Россия; изготовитель:ИП Кутяков Егор Александрович, Нижний Новгород, Мещерский бульвар 7к2 ;
19000072553|https://goldapple.ru/19000072553-magical-dream|SIR PARFUMER  MAGICAL DREAM|7500|RUB|0.0|"Во сне нет невозможного, все зависит только от нашего воображения. И пожалуй, не найдется человека, который хотя бы раз в жизни в своих сновидениях не испытывал чувство полета- ""Вдруг поднимаешься над землей и летишь над деревьями, цветочными полями. Касаешься руками облаков. На время сила притяжения земли становиться не властной над тобой"" и ты понимаешь-это волшебный сон"|нанести на кожу|страна происхождения: ОАЭ;
80113700002|https://goldapple.ru/80113700002-sheer-beauty|CALVIN KLEIN Sheer Beauty|8880|RUB|4.6|"Туалетная вода Calvin Klein Sheer Beauty - новая версия аромата Beauty 2010 года. Оригинал взывает к вечной красоте и элегантности, в то время как Sheer Beauty обращается к молодым женщинам и подчеркивает естественность и обаяние.*Композиция аромата открывается верхними нотами душистого бергамота, ароматных красных ягод и коктейля беллини, которые, спустя время, дополняются благоуханиями нежного жасмина, страстного пиона и утонченной белой лилии в ""сердце"" букета. К концу дня композицию дополнит долгоиграющий и чувственный шлейф базовых аккордов: бархатного мускуса, восточного сандала и пудровой ванили."|Только для наружного применения.|страна происхождения: Франция; изготовитель:«Fragrance Production SA», ФРАНЦИЯ, Z.I. Edmond Poillot B.P. 855 F-28011 Chartres, France;
82091700001|https://goldapple.ru/82091700001-1740-marquis-de-sade|HISTOIRES DE PARFUMS 1740 Marquis de Sade|11500|RUB|4.3|Histoires de Parfums 1740- это обворожительный парфюм, передающий всю изысканность манер, благородство, утонченный вкус, все, что только было присуще знаменитому Маркизу де Саду.*По-настоящему дерзкий запах для современного мужчины-гедониста.*Аромат, в котором кожа и индийская полынь раскрывают скандальные вольности в век революционных течений.|по мере необходимости|страна происхождения: Франция;
19000063334|https://goldapple.ru/19000063334-navigio|MILANO FRAGRANZE NAVIGLIO|12700|RUB|0.0|Современный одеколон с марсельским мылом и акватическими нотами от Мишель Мольхаузен.**Согнутые спины и народные песни. В этом районе жизнь кипела по одной лишь причине — богачам были нужны их идеально белые рубашки.**Naviglio – ольфакторная зарисовка Vicolo dei lavandai: марсельское мыло, акватические ноты, водянистые цветы, а также элегантная нота плюща.*|Нанести на кожу|"страна происхождения: Италия; изготовитель:""MASQUE S.R.L."", адрес: Via Bobbio 5/A, Pioltello (MI), CAP 20096, Италия ;"
26550200018|https://goldapple.ru/26550200018-you-or-someone-like-you|ETAT LIBRE D’ORANGE YOU OR SOMEONE LIKE YOU|9900|RUB|4.3|Лос-Анджелес. В этом городе падших ангелов действуют выдуманные правила. Но они, мечтатели, приехали за солнцем и возможностями на эту землю счастливого случая, где надежды всегда в цвету. Что бы они ни искали — счастья, любви, денег, славы — соблазны затягивают их все глубже и глубже в это бетонный рай. Есть ли у Лос-Анджелеса запах? Ответить на этот вопрос невозможно. Но Чэндлер Бар (писатель и парфюмерный критик) знает Лос-Анджелес. И Чэндлер Бар знает парфюмерию. Поэтому он решил участвовать в создании аромата, которым могла бы пользоваться жительница Лос-Анджелеса. И мы дали ему название романа Чэндлера, действие которого происходит в Лос-Анджелесе.*«You or Someone Like You» — приветливый аромат: не отталкивающий и не чужой. Это современное творение, построенное вокруг непреходящих материалов. Это воплощение женщины Лос-Анджелеса: бесподобной и решительной.**Не раскрывая композицию, мы предлагаем клиенту оценить его в целостности, а не как совокупность отдельных нот. Здесь важнее, какое ощущение создает аромат, а не чем он пахнет... «Сырье не имеет никакого значения. Работа — это работа. Если вам нужно знать, из чего это сделано, не носите его; You не для вас». (Чэндлер Бар)*||страна происхождения: Франция;
